loss,mae,val_loss,val_mae,learning_rate
0.18647299706935883,0.2853528559207916,0.40131905674934387,0.45222941040992737,0.0003000000142492354
0.10066421329975128,0.2102760374546051,0.35725948214530945,0.42698973417282104,0.0003000000142492354
0.08569345623254776,0.19210974872112274,0.34741827845573425,0.4202268719673157,0.0003000000142492354
0.07629700750112534,0.1805599480867386,0.3165324330329895,0.39495849609375,0.0003000000142492354
0.07000808417797089,0.17170369625091553,0.2998173236846924,0.3730301856994629,0.0003000000142492354
0.06614973396062851,0.1664435863494873,0.31371402740478516,0.39386096596717834,0.0003000000142492354
0.06213119253516197,0.16089662909507751,0.27573511004447937,0.37603554129600525,0.0003000000142492354
0.05916578695178032,0.15637584030628204,0.25550350546836853,0.3509771227836609,0.0003000000142492354
0.055512938648462296,0.1513339728116989,0.2708280086517334,0.35753941535949707,0.0003000000142492354
0.053467970341444016,0.1478508561849594,0.2613239884376526,0.35918089747428894,0.0003000000142492354
0.050766512751579285,0.14449837803840637,0.289643794298172,0.38210329413414,0.0003000000142492354
0.049374837428331375,0.14223331212997437,0.22532185912132263,0.3299027979373932,0.0003000000142492354
0.04684755206108093,0.1383281648159027,0.24178078770637512,0.340077668428421,0.0003000000142492354
0.045820023864507675,0.13557308912277222,0.22376985847949982,0.32795020937919617,0.0003000000142492354
0.04486727714538574,0.1340479701757431,0.227791428565979,0.33111992478370667,0.0003000000142492354
0.04387417063117027,0.13311266899108887,0.21988311409950256,0.3326990604400635,0.0003000000142492354
0.0417683981359005,0.12978942692279816,0.2137494534254074,0.3247465491294861,0.0003000000142492354
0.041970960795879364,0.1292211413383484,0.21194182336330414,0.32253026962280273,0.0003000000142492354
0.03908363729715347,0.12698660790920258,0.19819213449954987,0.30973657965660095,0.0003000000142492354
0.039791546761989594,0.12574753165245056,0.2259208709001541,0.32574576139450073,0.0003000000142492354
0.03814214468002319,0.12393501400947571,0.20409396290779114,0.3036694824695587,0.0003000000142492354
0.038205526769161224,0.12358400970697403,0.23166824877262115,0.3284602761268616,0.0003000000142492354
0.03811243548989296,0.12281787395477295,0.24981538951396942,0.33767446875572205,0.0003000000142492354
0.03464094549417496,0.11738424003124237,0.1928742676973343,0.3045957386493683,0.0001500000071246177
0.034311629831790924,0.116109699010849,0.20972982048988342,0.3157396912574768,0.0001500000071246177
0.0327066108584404,0.11515183746814728,0.2026223987340927,0.31452375650405884,0.0001500000071246177
0.03276846557855606,0.11468479037284851,0.20270343124866486,0.3126150965690613,0.0001500000071246177
0.03357911482453346,0.1145431250333786,0.19746816158294678,0.31061655282974243,0.0001500000071246177
0.030381223186850548,0.11158065497875214,0.20198173820972443,0.30980154871940613,7.500000356230885e-05
0.03001396730542183,0.11093105375766754,0.19397853314876556,0.3033936321735382,7.500000356230885e-05
0.03108561411499977,0.11071492731571198,0.19253738224506378,0.3021602928638458,7.500000356230885e-05
0.029700595885515213,0.11046525835990906,0.19860024750232697,0.30655720829963684,7.500000356230885e-05
0.029668156057596207,0.11042225360870361,0.19776661694049835,0.30605658888816833,7.500000356230885e-05
0.030003687366843224,0.11014224588871002,0.18483471870422363,0.29635557532310486,7.500000356230885e-05
0.028992176055908203,0.10981261730194092,0.19451601803302765,0.3031049370765686,7.500000356230885e-05
0.02886839024722576,0.10943792015314102,0.19300656020641327,0.29903656244277954,7.500000356230885e-05
0.028770625591278076,0.10928386449813843,0.19176706671714783,0.3039422929286957,7.500000356230885e-05
0.028875000774860382,0.10926349461078644,0.18946731090545654,0.2985372841358185,7.500000356230885e-05
0.028243914246559143,0.1079922467470169,0.19667628407478333,0.30458876490592957,3.7500001781154424e-05
0.026910671964287758,0.10710150003433228,0.1945757120847702,0.30279260873794556,3.7500001781154424e-05
