loss,mae,val_loss,val_mae,learning_rate
0.12405010312795639,0.21938320994377136,0.14757992327213287,0.2659350335597992,0.0003000000142492354
0.054283466190099716,0.1453019231557846,0.13278824090957642,0.24661438167095184,0.0003000000142492354
0.048008281737565994,0.13436231017112732,0.12149754911661148,0.23348328471183777,0.0003000000142492354
0.044743116945028305,0.1289215236902237,0.12393786013126373,0.2338050752878189,0.0003000000142492354
0.04244318976998329,0.12489252537488937,0.11330310255289078,0.23024651408195496,0.0003000000142492354
0.04024096205830574,0.12154890596866608,0.1168193370103836,0.23195791244506836,0.0003000000142492354
0.038683563470840454,0.1183454617857933,0.12144969403743744,0.2331870049238205,0.0003000000142492354
0.03733303025364876,0.1166214570403099,0.11466173827648163,0.22475101053714752,0.0003000000142492354
0.036947887390851974,0.11495038121938705,0.12878797948360443,0.24119052290916443,0.0003000000142492354
0.03327186033129692,0.10853618383407593,0.12036335468292236,0.22702452540397644,0.0001500000071246177
0.0324079804122448,0.10760246217250824,0.12234282493591309,0.23207414150238037,0.0001500000071246177
0.03202171251177788,0.10683766007423401,0.12064606696367264,0.22537179291248322,0.0001500000071246177
0.03152690827846527,0.10625175386667252,0.12018252909183502,0.22864051163196564,0.0001500000071246177
