loss,mae,val_loss,val_mae,learning_rate
0.1528995931148529,0.25615575909614563,0.1408105194568634,0.2608688473701477,0.0003000000142492354
0.07410983741283417,0.18076945841312408,0.1140407919883728,0.22753454744815826,0.0003000000142492354
0.06515033543109894,0.1673882007598877,0.09463725239038467,0.20367634296417236,0.0003000000142492354
0.05987710505723953,0.15993747115135193,0.08278822898864746,0.19269844889640808,0.0003000000142492354
0.055357132107019424,0.1545046716928482,0.07162073999643326,0.1772747039794922,0.0003000000142492354
0.05110500380396843,0.14887453615665436,0.06583666056394577,0.1664520502090454,0.0003000000142492354
0.047848109155893326,0.14473049342632294,0.06908853352069855,0.17180539667606354,0.0003000000142492354
0.046164531260728836,0.14097343385219574,0.06295721977949142,0.16346824169158936,0.0003000000142492354
0.04429259151220322,0.13877913355827332,0.060158710926771164,0.1603572815656662,0.0003000000142492354
0.04389461502432823,0.13791944086551666,0.0665200725197792,0.17703132331371307,0.0003000000142492354
0.04294561594724655,0.1365370750427246,0.06196201592683792,0.1617061197757721,0.0003000000142492354
0.04257421940565109,0.13562728464603424,0.06236844137310982,0.16244521737098694,0.0003000000142492354
0.04174363985657692,0.1350761204957962,0.06374040991067886,0.16856703162193298,0.0003000000142492354
0.040032319724559784,0.13257074356079102,0.06214403733611107,0.16427910327911377,0.0001500000071246177
0.04014003649353981,0.13246507942676544,0.0660436749458313,0.1651158481836319,0.0001500000071246177
0.03958873450756073,0.13182564079761505,0.06232336163520813,0.16184933483600616,0.0001500000071246177
0.039478600025177,0.13156436383724213,0.06676586717367172,0.16743412613868713,0.0001500000071246177
