architecture,rmse,mape,mae,r2
multi_input_hybrid,21.515493798392633,4.973459243774414,10.167006492614746,0.9441661238670349
baseline_lstm,24.568615799922853,6.284961700439453,11.74962329864502,0.9242612719535828
bi_lstm,35.33973300006135,9.908491134643555,16.487794876098633,0.8472526669502258
lstm_cnn,37.66172807663968,13.804692268371582,18.603656768798828,0.7544730305671692
